_;_;x;x;x;x;x;x;x;x;x;x;_;_;_;x;x;x;x;_;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;_;
_;_;x;.;.;.;.;.;.;.;.;x;x;x;x;x;.;.;x;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;x;
_;x;x;.;.;.;MyObjectBuilder_MergeBlock/LargeShipMergeBlock;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;x;x;.;x;.;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;gravity;.;MyObjectBuilder_TimerBlock/TimerBlockLarge;.;.;.;.;.;.;.;.;MyObjectBuilder_Collector/Collector;.;.;.;.;.;x;
x;x;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_RemoteControl/LargeBlockRemoteControl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;MyObjectBuilder_Warhead/LargeWarhead;.;.;.;.;.;.;.;.;x;.;x;.;.;.;gravity;.;.;MyObjectBuilder_Assembler/BasicAssembler;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;gravity;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_VirtualMass/VirtualMassLarge;.;.;.;.;MyObjectBuilder_SurvivalKit/SurvivalKitLarge;.;.;x;x;x;x;x;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;gravity;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;_;_;_;x;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_CargoContainer/LargeBlockSmallContainer;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;x;x;_;x;x;.;.;.;.;.;x;
x;.;.;.;.;x;x;.;MyObjectBuilder_ShipConnector/Connector;.;.;gravity;.;.;.;.;.;.;.;.;.;p;.;.;.;.;.;.;x;x;x;.;.;.;.;MyObjectBuilder_Cockpit/LargeBlockCockpitSeat;.;.;x;x;x;.;x;x;x;x;.;.;.;.;x;x;
x;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_ReflectorLight/LargeBlockFrontLight;.;.;.;.;x;_;x;.;.;.;.;.;.;.;x;x;x;.;x;.;x;.;.;.;.;.;.;x;
x;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_Gyro/LargeBlockGyro;.;.;.;.;.;.;.;.;x;_;x;x;.;MyObjectBuilder_CryoChamber/LargeBlockCryoChamber;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;x;.;.;.;x;x;x;x;.;.;.;.;.;.;.;gravity;.;.;.;.;x;
x;.;x;x;x;_;_;x;.;.;.;gravity;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;x;x;x;.;x;.;x;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;x;x;x;_;_;_;x;x;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;x;.;.;.;x;x;x;.;.;.;.;.;.;.;.;x;x;.;.;.;x;
x;x;.;x;x;x;x;x;.;.;.;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;.;.;x;_;_;x;x;x;.;.;.;.;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;x;x;.;.;.;.;MyObjectBuilder_Assembler/BasicAssembler;.;.;.;.;x;x;_;_;_;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;x;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;x;x;x;x;x;x;.;MyObjectBuilder_Collector/Collector;.;.;.;.;.;.;.;.;.;x;x;x;x;.;x;x;x;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_Collector/Collector;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;x;x;x;x;x;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;MyObjectBuilder_Warhead/LargeWarhead;.;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;_;_;_;_;x;.;.;.;.;.;.;.;.;.;x;
