but1,door1,,,,,,,,,,,,,,,,,
but3,door3,,,,,,,,,,,,,,,,,
but5,door5,,,,,,,,,,,,,,,,,
but7,door7,,,,,,,,,,,,,,,,,
but9,door9,,,,,,,,,,,,,,,,,
but11,door11,,,,,,,,,,,,,,,,,
but13,door13,,,,,,,,,,,,,,,,,
but15,door15,,,,,,,,,,,,,,,,,
but17,door17,,,,,,,,,,,,,,,,,
but19,door19,,,,,,,,,,,,,,,,,
but21,door21,,,,,,,,,,,,,,,,,
but23,door23,,,,,,,,,,,,,,,,,
but25,door25,,,,,,,,,,,,,,,,,
but27,door27,,,,,,,,,,,,,,,,,
but29,door29,,,,,,,,,,,,,,,,,
but31,door31,,,,,,,,,,,,,,,,,
but33,door33,,,,,,,,,,,,,,,,,
but35,door35,,,,,,,,,,,,,,,,,
but37,door37,,,,,,,,,,,,,,,,,
but39,door39,,,,,,,,,,,,,,,,,
but41,door41,,,,,,,,,,,,,,,,,
but43,door43,,,,,,,,,,,,,,,,,
but45,door45,,,,,,,,,,,,,,,,,
but47,door47,,,,,,,,,,,,,,,,,
but49,door49,,,,,,,,,,,,,,,,,
but51,door51,,,,,,,,,,,,,,,,,
but53,door53,,,,,,,,,,,,,,,,,
but55,door55,,,,,,,,,,,,,,,,,
|w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,f,w,f,w,f,w,f,w,f,w,f,w,f,w,w,w
w,w,w,f:d>s^door1,w,f:d>s^door3,w,f:d>s^door5,w,f:d>s^door7,w,f:d>s^door9,w,f:d>s^door11,w,f:d>s^door13,w,w,w
w,f:c>e,f:d>e^door55,f,f,f,f,f,f,f,f,f,f,f,f,f,f:d>w^door15,f,w
w,w,w,f,f,f,f,f,f,f,f,f,f,f,f,f,w,w,w
w,f,f:d>e^door53,f,f,f,f:b^but1,f:b^but3,f:b^but5,f:b^but7,f:b^but9,f:b^but11,f:b^but13,f,f,f,f:d>w^door17,f,w
w,w,w,f,f,f:b^but55,f,f,f,f,f,f,f,f:b^but15,f,f,w,w,w
w,f,f:d>e^door51,f,f,f:b^but53,f,f,f,f,f,f,f,f:b^but17,f,f,f:d>w^door19,f,w
w,w,w,f,f,f:b^but51,f,f,f,f,f,f,f,f:b^but19,f,f,w,w,w
w,f,f:d>e^door49,f,f,f:b^but49,f,f,f,f:a^agent1,f,f,f,f:b^but21,f,f,f:d>w^door21,f,w
w,w,w,f,f,f:b^but47,f,f,f,f,f,f,f,f:b^but23,f,f,w,w,w
w,f,f:d>e^door47,f,f,f:b^but45,f,f,f,f,f,f,f,f:b^but25,f,f,f:d>w^door23,f,w
w,w,w,f,f,f:b^but43,f,f,f,f,f,f,f,f:b^but27,f,f,w,w,w
w,f,f:d>e^door45,f,f,f,f:b^but41,f:b^but39,f:b^but37,f:b^but35,f:b^but33,f:b^but31,f:b^but29,f,f,f,f:d>w^door25,f,w
w,w,w,f,f,f,f,f,f,f,f,f,f,f,f,f,w,w,w
w,f,f:d>e^door43,f,f,f,f,f,f,f,f,f,f,f,f,f,f:d>w^door27,f,w
w,w,w,f:d>n^door41,w,f:d>n^door39,w,f:d>n^door37,w,f:d>n^door35,w,f:d>n^door33,w,f:d>n^door31,w,f:d>n^door29,w,w,w
w,w,w,f,w,f,w,f,w,f,w,f,w,f,w,f,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
|w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,,w,,w,,w,,w,,w,,w,,w,w,w
w,w,w,,w,,w,,w,,w,,w,,w,,w,w,w
w,,,,,,,,,,,,,,,,, ,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,, ,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,, ,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,,,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,,,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,,,w
w,w,w,,,,,,,,,,,,,,w,w,w
w,,,,,,,,,,,,,,,,,,w
w,w,w,,w,,w,,w,,w,,w,,w,,w,w,w
w,w,w,,w,,w,,w,,w,,w,,w,,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
